SPESA,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA_ROMAGNA,FRIULI,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO,UMBRIA,VALLE_AOSTA,VENETO
Spesa_1,400.79,445.2,419.82,458.15,420.18,432.13,448.34,415.36,445.28,435.9,440.8,462.29,459.57,413.49,406.05,476.03,455.22,436.89,470.58,441.0
Spesa_2,38.99,44.08,39.25,47.71,49.2,40.04,41.74,40.32,51.19,37.09,41.84,45.87,46.34,36.9,32.52,49.04,46.49,40.17,51.8,37.73
Spesa_3,91.12,127.82,83.98,115.31,115.26,101.06,85.5,74.35,172.44,95.0,113.37,108.05,126.88,77.13,106.94,111.08,127.65,84.27,169.22,105.07
Spesa_4,839.7,557.91,539.3,703.31,1078.95,921.58,1095.05,927.23,1062.67,840.84,724.2,957.94,674.75,751.61,586.08,1022.01,1051.05,915.07,950.75,916.76
Spesa_5,79.53,95.91,72.36,90.47,113.12,102.22,91.46,78.55,139.52,98.46,85.54,95.75,96.61,90.14,85.63,108.38,142.33,95.78,84.79,113.33
Spesa_6,94.17,85.88,78.18,69.13,129.93,103.34,110.22,95.86,148.25,91.46,78.46,117.92,110.77,68.88,88.09,113.91,151.74,84.64,139.13,138.89
Spesa_7,211.23,247.27,181.9,161.23,337.23,262.49,239.81,193.35,357.6,254.47,248.76,276.41,211.22,251.97,180.28,296.42,342.52,245.58,352.22,303.26
Spesa_8,53.33,60.09,55.24,64.23,68.35,55.57,65.57,52.59,65.8,58.77,62.47,64.2,56.57,46.03,62.4,68.39,66.59,57.46,69.1,65.01
Spesa_9,89.54,59.99,59.08,98.45,164.22,136.4,120.25,124.59,160.84,114.33,78.74,144.4,80.19,94.96,72.52,151.29,203.14,105.37,143.91,150.45
Spesa_10,9.7,11.02,9.48,8.79,17.98,13.46,15.02,7.07,22.79,13.23,13.33,11.69,13.4,7.57,9.6,14.53,14.5,10.15,8.68,21.25
Spesa_11,76.38,64.77,45.08,61.2,190.93,137.12,122.52,118.51,166.13,92.71,70.94,150.05,72.57,82.1,60.23,155.55,196.81,89.58,161.21,133.91
Spesa_12,171.43,123.4,145.52,150.45,218.24,192.36,178.48,167.39,238.13,173.34,133.12,187.07,164.82,162.88,133.96,186.82,224.12,170.86,175.47,202.05
Spesa_TOT,2155.88,1923.34,1729.2,2028.43,2903.58,2497.76,2613.95,2295.17,3030.64,2305.6,2091.57,2621.64,2113.7,2083.66,1824.31,2753.45,3022.16,2335.82,2776.88,2628.73
