SPESA,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA_ROMAGNA,FRIULI,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO,UMBRIA,VALLE_AOSTA,VENETO
Spesa_1,440.55,454.03,478.22,469.25,429.18,398.28,456.29,439.87,445.6,435.81,436.23,433.85,461.31,507.84,415.99,434.5,468.73,484.73,413.46,456.42
Spesa_2,43.35,40.51,44.91,42.07,52.13,47.96,39.06,36.95,46.92,39.63,39.19,48.23,37.56,40.96,34.87,50.13,43.3,43.53,46.42,40.52
Spesa_3,147.94,113.31,112.72,104.53,129.73,115.16,92.56,77.01,159.84,98.83,108.39,121.96,133.96,92.15,103.34,99.66,129.07,117.35,158.15,132.08
Spesa_4,754.0,550.72,568.41,730.92,1127.01,944.48,1164.49,923.28,1080.06,956.19,738.17,988.8,701.85,818.63,571.5,997.54,1090.87,893.38,981.25,1006.03
Spesa_5,84.34,96.51,81.17,89.38,105.03,105.61,109.1,75.01,113.64,105.47,92.95,93.48,84.38,104.21,104.43,86.48,135.35,82.02,217.79,132.19
Spesa_6,104.88,80.85,86.82,67.01,117.45,101.86,103.11,100.66,90.92,104.65,70.77,100.24,99.85,81.36,94.05,109.54,126.86,104.55,123.18,118.75
Spesa_7,222.49,235.95,180.48,139.41,359.12,266.15,250.07,196.04,377.57,326.93,359.56,316.84,200.1,209.38,199.7,277.53,370.7,281.99,289.45,354.58
Spesa_8,68.88,65.82,76.78,67.13,76.82,67.14,76.3,62.57,78.84,67.89,70.77,74.72,62.02,71.61,68.07,78.08,75.23,70.73,65.22,73.87
Spesa_9,111.31,63.57,82.32,105.24,169.01,148.87,92.85,94.24,177.42,116.27,93.34,135.47,82.97,75.58,80.34,147.84,161.89,121.2,172.54,148.97
Spesa_10,3.91,3.65,5.48,8.8,19.26,11.31,18.86,11.85,10.36,10.67,8.26,5.62,15.64,12.44,12.46,15.8,13.85,6.97,9.81,26.85
Spesa_11,66.01,69.59,58.61,57.19,159.6,154.78,137.21,94.0,193.41,96.91,42.36,143.59,71.77,112.18,64.53,138.93,165.91,80.2,124.83,138.73
Spesa_12,179.09,111.72,155.58,138.82,241.7,199.09,183.72,151.72,239.38,180.51,163.42,174.86,137.83,161.46,140.0,251.15,220.44,212.67,215.23,210.56
Spesa_TOT,2226.75,1886.23,1931.5,2019.75,2986.04,2560.69,2723.62,2263.2,3013.96,2539.76,2223.41,2637.66,2089.24,2287.8,1889.28,2687.18,3002.2,2499.32,2817.33,2839.55
