SPESA,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA_ROMAGNA,FRIULI,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO,UMBRIA,VALLE_AOSTA,VENETO
Spesa_1,357.32,387.69,452.27,404.68,369.27,346.88,399.97,384.1,393.36,435.03,337.76,355.96,421.85,469.07,368.1,367.01,400.23,382.12,330.37,394.18
Spesa_2,34.33,36.93,46.1,42.07,42.07,31.82,38.58,39.32,42.8,39.99,34.71,48.53,36.95,47.66,31.67,44.93,39.39,34.71,41.85,35.53
Spesa_3,183.14,127.99,157.55,162.63,152.06,138.77,111.68,84.47,180.24,146.84,128.2,145.11,191.09,95.56,150.15,117.54,151.47,157.79,163.01,145.14
Spesa_4,470.64,350.14,383.64,532.99,813.42,566.81,768.87,572.84,708.62,577.54,435.46,643.26,481.01,509.64,358.3,623.58,698.36,621.56,646.85,695.53
Spesa_5,82.4,92.47,129.54,125.95,109.96,113.15,122.88,68.35,117.43,124.88,105.55,102.21,135.41,156.16,151.73,130.67,148.97,173.28,216.38,139.58
Spesa_6,108.91,36.91,96.4,84.64,121.38,92.23,110.82,111.09,101.67,106.96,91.89,111.18,107.49,99.94,103.41,110.77,124.96,92.82,106.07,118.06
Spesa_7,265.54,257.69,242.15,213.18,338.19,226.02,242.44,197.46,350.91,346.04,211.72,262.67,222.98,227.5,244.75,226.4,286.86,322.77,186.64,328.82
Spesa_8,67.76,54.98,86.58,75.3,72.16,55.35,81.55,67.92,71.34,63.54,59.42,77.45,66.75,72.42,69.55,68.03,69.18,74.47,60.59,65.38
Spesa_9,132.17,72.82,125.37,167.88,164.48,121.02,147.05,111.55,183.24,154.34,88.74,138.72,117.69,126.83,137.06,158.93,155.48,123.0,160.63,153.02
Spesa_10,5.8,2.21,8.42,12.83,12.44,5.22,12.59,21.62,8.15,9.0,6.48,4.69,12.13,27.57,12.38,13.72,6.22,7.88,8.98,19.84
Spesa_11,54.41,36.87,63.87,65.38,116.39,103.96,107.84,92.77,150.31,95.42,31.03,97.37,52.71,122.64,74.2,114.2,138.64,93.66,85.77,100.71
Spesa_12,168.59,103.7,170.06,146.87,228.01,206.28,221.61,138.69,250.88,178.1,123.84,154.36,135.94,207.03,136.52,216.74,186.34,207.68,205.63,201.86
Spesa_TOT,1931.01,1560.4,1961.95,2034.4,2539.83,2007.51,2365.88,1890.18,2558.95,2277.68,1654.8,2141.51,1982.0,2162.02,1837.82,2192.52,2406.1,2291.74,2212.77,2397.65
