SPESA,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA_ROMAGNA,FRIULI,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO,UMBRIA,VALLE_AOSTA,VENETO
Spesa_1,413.62,454.22,466.01,437.91,424.57,375.4,444.69,437.33,462.09,464.82,391.51,419.33,504.86,534.55,397.83,432.48,470.26,438.35,415.59,440.98
Spesa_2,40.03,40.7,42.42,43.75,50.46,33.26,40.74,38.68,49.2,40.08,39.16,50.21,43.35,51.71,32.88,47.79,42.77,37.74,45.55,39.59
Spesa_3,210.04,150.47,138.29,151.79,156.07,138.29,133.53,100.4,215.19,135.82,166.83,122.78,199.76,121.82,145.48,134.7,151.54,149.3,205.53,137.9
Spesa_4,665.71,543.26,509.04,641.01,1082.25,853.84,1087.66,747.73,935.1,853.82,683.03,868.56,631.85,637.57,442.34,952.15,976.09,890.49,951.29,895.67
Spesa_5,84.28,118.99,147.76,120.27,129.45,123.41,140.76,96.12,140.93,163.64,112.96,104.22,139.94,215.14,157.11,123.74,165.43,143.12,239.59,135.23
Spesa_6,98.26,72.42,102.85,61.8,120.42,94.6,79.39,105.36,116.96,95.32,89.39,108.2,114.06,90.76,87.43,95.67,167.08,90.31,88.41,128.45
Spesa_7,226.89,286.85,243.06,148.75,425.41,239.81,243.18,209.43,352.0,282.05,270.82,284.85,238.45,284.66,250.06,234.77,412.93,229.0,259.04,353.34
Spesa_8,74.4,72.8,95.49,67.67,89.38,71.0,91.61,73.85,79.03,72.5,79.97,85.37,73.85,84.61,81.31,85.37,89.48,82.14,82.16,75.2
Spesa_9,121.24,77.3,132.75,119.36,161.38,126.95,138.04,116.18,201.58,120.78,96.45,134.49,113.12,139.16,109.49,177.23,160.47,103.51,185.38,163.38
Spesa_10,10.63,6.36,6.4,7.36,11.26,9.87,9.61,17.32,7.99,6.52,9.73,5.84,16.12,25.04,13.48,12.15,10.11,9.34,7.26,20.55
Spesa_11,58.8,66.07,56.75,70.34,151.33,129.55,125.93,105.82,210.73,111.07,51.6,120.32,73.32,195.83,71.85,137.55,179.27,96.37,142.93,135.82
Spesa_12,190.85,115.9,188.66,134.94,276.31,254.27,216.25,182.01,272.0,212.07,178.72,174.14,157.35,228.36,157.86,275.86,235.94,221.5,273.28,247.02
Spesa_TOT,2194.75,2005.34,2129.48,2004.95,3078.29,2450.25,2751.39,2230.23,3042.8,2558.49,2170.17,2478.31,2306.03,2609.21,1947.12,2709.46,3061.37,2491.17,2896.01,2773.13
