SPESA,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA_ROMAGNA,FRIULI,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO,UMBRIA,VALLE_AOSTA,VENETO
Spesa_1,426.03,461.83,460.8,494.41,407.65,410.01,481.58,455.73,462.28,491.12,425.64,442.35,538.38,561.08,414.72,432.45,443.36,509.47,441.12,476.09
Spesa_2,42.49,37.34,44.67,45.35,44.71,40.79,45.17,39.17,46.58,44.97,42.76,50.06,46.69,50.49,33.34,51.53,36.47,40.04,50.71,42.83
Spesa_3,197.63,156.94,133.62,133.29,142.65,142.3,114.02,98.7,200.21,140.24,121.68,143.1,214.92,116.17,159.25,129.25,135.64,144.75,178.67,139.4
Spesa_4,727.34,527.36,547.88,699.19,1163.24,891.05,1204.29,862.4,1000.02,881.61,653.49,982.43,663.41,729.22,497.52,944.13,1050.66,898.55,998.37,1009.36
Spesa_5,88.14,105.82,116.4,89.46,140.18,136.9,112.2,74.59,125.94,137.06,93.53,93.63,108.26,136.4,122.74,121.12,154.77,109.1,136.45,171.55
Spesa_6,151.37,76.12,97.23,71.9,124.59,99.31,110.55,119.38,96.53,104.12,79.47,111.97,124.78,86.64,92.89,110.49,120.19,143.8,89.51,141.52
Spesa_7,246.71,246.82,240.7,162.49,365.9,313.4,286.95,176.66,372.9,295.83,245.2,295.76,217.67,268.63,226.69,293.35,296.66,356.21,263.85,381.24
Spesa_8,74.72,67.06,90.04,71.82,86.05,67.3,85.54,67.57,81.85,69.41,69.1,87.77,74.76,77.18,80.1,87.81,86.48,82.7,84.68,88.9
Spesa_9,116.15,58.72,103.23,108.25,155.46,157.92,130.98,107.46,196.78,132.34,82.67,148.72,109.82,115.73,98.98,154.05,154.39,118.0,245.77,173.23
Spesa_10,4.92,6.57,7.85,6.11,12.69,7.81,13.92,12.37,9.66,11.12,12.97,4.92,14.33,14.46,12.61,8.59,13.05,5.79,5.88,20.1
Spesa_11,78.47,52.39,62.76,57.78,148.4,141.05,104.97,113.34,214.61,115.32,42.08,155.82,70.1,150.51,83.02,130.87,168.0,76.35,137.15,144.99
Spesa_12,201.44,117.43,171.43,137.02,274.4,259.24,183.19,170.88,264.09,216.35,162.07,167.32,162.47,227.73,162.37,267.42,208.74,223.38,210.79,244.47
Spesa_TOT,2355.41,1914.4,2076.61,2077.07,3065.92,2667.08,2873.36,2298.25,3071.45,2639.49,2030.66,2683.85,2345.59,2534.24,1984.23,2731.06,2868.41,2708.14,2842.95,3033.68
