SPESA,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA_ROMAGNA,FRIULI,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO,UMBRIA,VALLE_AOSTA,VENETO
Spesa_1,397.06,432.32,427.9,449.75,424.47,442.8,450.73,422.6,434.09,441.47,422.7,455.66,446.24,417.28,407.67,449.23,453.13,449.15,446.7,425.6
Spesa_2,37.27,44.95,37.03,43.44,50.16,40.37,38.87,41.26,50.4,37.77,40.31,44.24,44.23,39.13,37.86,47.05,42.48,37.67,48.73,37.73
Spesa_3,95.43,123.28,87.62,107.59,116.99,104.48,82.99,69.1,166.41,99.49,107.24,115.45,119.59,77.91,103.47,114.04,123.39,84.27,174.85,108.25
Spesa_4,809.15,576.0,567.17,715.13,1113.46,936.75,1117.68,938.12,1065.76,895.65,707.89,981.4,661.66,777.18,540.37,1007.66,1093.23,927.88,924.52,961.83
Spesa_5,78.43,91.42,78.38,90.46,115.16,101.56,96.65,86.18,122.15,97.96,94.54,99.38,97.07,94.17,81.34,113.9,150.36,101.81,75.92,101.67
Spesa_6,91.34,75.04,75.22,73.22,124.53,113.53,110.35,105.56,134.26,98.86,82.19,115.45,106.55,68.33,81.56,102.9,146.51,83.95,149.97,145.07
Spesa_7,223.43,214.75,163.27,157.8,315.93,250.67,238.75,184.79,330.85,267.83,243.44,285.96,201.28,258.5,178.35,250.01,324.34,252.35,322.04,325.83
Spesa_8,53.24,63.71,62.17,62.34,68.83,60.52,67.96,61.79,69.92,60.24,64.19,63.39,60.13,55.92,66.64,70.29,69.64,58.72,70.65,69.04
Spesa_9,84.87,58.71,56.89,99.71,147.56,131.31,117.79,121.52,145.83,108.34,71.35,146.41,78.34,95.59,71.42,146.49,214.54,105.02,129.15,147.05
Spesa_10,8.31,6.79,7.55,11.3,14.5,15.24,15.47,9.01,20.05,14.12,13.3,12.84,10.84,7.9,9.14,11.08,20.16,11.49,7.54,21.01
Spesa_11,65.64,51.03,47.87,66.36,158.76,121.52,125.38,114.37,142.34,101.46,57.53,134.75,59.02,71.88,51.46,128.65,183.52,81.22,145.38,126.39
Spesa_12,186.13,141.43,146.76,150.85,232.91,207.57,192.22,168.28,268.0,203.6,143.66,201.96,176.05,171.37,149.58,220.16,252.23,173.83,187.36,207.62
Spesa_TOT,2130.29,1879.43,1757.82,2027.96,2883.27,2526.33,2654.84,2322.57,2950.06,2426.79,2048.34,2656.89,2061.01,2135.17,1778.86,2661.48,3073.54,2367.37,2682.82,2677.1
