SPESA,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA_ROMAGNA,FRIULI,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO,UMBRIA,VALLE_AOSTA,VENETO
Spesa_1,457.6,425.62,437.37,479.01,417.9,383.35,458.78,452.61,446.84,451.67,449.86,444.83,497.47,495.43,398.45,409.17,418.83,485.95,388.77,455.92
Spesa_2,38.63,37.41,43.67,41.88,44.27,38.21,39.94,41.48,42.96,43.67,52.52,50.09,40.58,40.6,34.47,47.35,34.23,39.31,49.41,38.55
Spesa_3,205.79,173.72,133.42,144.65,147.88,143.79,115.37,92.55,179.12,133.61,156.91,125.98,184.17,101.97,144.35,110.92,123.73,149.71,168.83,132.78
Spesa_4,772.42,520.44,546.63,715.56,1105.04,979.56,1250.41,928.8,1010.6,912.85,757.14,975.83,654.58,689.36,569.65,1015.61,983.8,966.23,1006.27,1005.7
Spesa_5,95.95,88.84,94.87,86.26,131.1,119.33,125.56,76.17,138.86,128.04,168.26,113.22,96.96,108.7,113.53,80.77,120.05,111.89,234.94,163.5
Spesa_6,100.24,78.58,96.09,65.73,115.98,109.69,111.48,124.99,90.15,101.39,85.38,95.99,102.01,83.7,92.13,100.67,139.13,129.21,106.64,107.1
Spesa_7,262.97,201.44,220.73,145.81,336.86,280.42,276.34,201.02,390.99,253.64,221.66,256.49,190.3,185.55,230.68,245.26,283.56,259.27,294.79,336.2
Spesa_8,80.78,68.34,83.03,68.76,83.55,63.67,78.25,69.97,81.3,70.64,76.21,87.88,70.05,68.82,72.0,82.34,77.23,84.53,75.71,74.74
Spesa_9,115.87,60.23,102.28,104.96,138.73,144.0,130.68,105.96,208.73,128.14,137.61,143.31,106.6,96.52,87.48,132.17,126.8,105.87,185.62,143.31
Spesa_10,5.25,3.7,5.64,6.94,13.64,9.29,11.17,12.05,8.61,6.87,5.25,7.98,12.49,18.96,15.78,12.25,8.46,3.57,6.22,21.0
Spesa_11,78.98,66.06,63.63,54.81,158.68,133.43,146.85,100.18,218.08,112.36,49.96,143.44,83.5,130.72,72.12,124.88,140.15,96.15,130.81,137.76
Spesa_12,203.61,114.1,166.38,128.44,253.36,231.88,192.47,181.59,256.3,206.14,194.56,176.22,150.12,211.07,153.99,237.72,194.62,197.8,210.56,244.2
Spesa_TOT,2418.09,1838.48,1993.74,2042.81,2946.99,2636.62,2937.3,2387.37,3072.54,2549.02,2355.32,2621.26,2188.83,2231.4,1984.63,2599.11,2650.59,2629.49,2858.57,2860.76
