SPESA,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA_ROMAGNA,FRIULI,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO,UMBRIA,VALLE_AOSTA,VENETO
Spesa_1,396.34,448.18,384.59,498.48,419.95,433.79,400.0,421.03,451.45,450.69,426.55,522.16,475.21,431.44,426.66,460.5,489.7,487.83,547.52,432.83
Spesa_2,36.67,44.69,35.21,53.33,47.85,42.6,38.49,36.2,53.89,34.61,37.08,48.75,49.82,49.21,33.61,46.62,46.54,47.12,47.0,36.45
Spesa_3,80.3,138.96,79.71,121.49,110.1,92.79,85.97,65.28,179.56,98.07,134.21,117.49,126.95,79.72,115.42,104.26,132.74,80.76,130.01,112.59
Spesa_4,878.98,581.22,521.1,671.04,1180.28,917.43,1180.56,952.36,969.81,829.37,824.04,856.9,689.59,752.36,642.92,1049.91,1061.43,760.87,968.98,962.29
Spesa_5,64.63,114.28,69.89,99.44,99.79,111.11,103.26,84.78,143.62,88.82,76.23,110.18,113.96,76.35,87.42,104.7,110.7,99.11,108.6,112.06
Spesa_6,94.45,103.35,74.21,64.38,118.18,114.57,107.76,104.44,159.08,82.84,94.47,122.53,113.39,80.15,86.19,111.39,141.18,127.99,198.18,127.64
Spesa_7,235.3,231.17,225.41,167.78,326.97,267.49,217.52,209.84,377.01,293.61,236.5,266.86,202.62,254.52,173.45,329.45,324.52,262.97,290.24,321.23
Spesa_8,48.28,55.45,52.2,62.78,69.31,59.62,61.24,54.11,67.95,45.93,64.36,61.55,54.28,58.34,59.92,66.6,70.44,58.44,68.95,65.44
Spesa_9,78.28,59.77,62.53,113.19,166.57,128.7,131.05,110.53,177.48,97.74,59.31,141.79,82.65,112.61,67.74,146.63,208.62,85.39,155.25,149.41
Spesa_10,12.02,19.91,9.6,9.36,20.92,10.06,16.19,10.13,21.3,12.23,5.63,13.67,12.96,11.8,7.72,14.53,13.75,5.72,7.38,17.88
Spesa_11,76.11,61.49,53.34,60.28,195.86,130.66,113.02,112.0,191.24,96.92,85.94,156.39,75.44,82.64,52.18,167.01,234.12,73.09,156.17,146.2
Spesa_12,157.61,122.73,133.26,143.69,219.68,170.24,164.9,128.76,247.98,132.78,131.39,189.3,174.3,139.59,122.97,219.81,239.98,160.77,184.15,189.18
Spesa_TOT,2158.97,1981.19,1701.04,2065.24,2975.45,2479.04,2619.95,2289.46,3040.38,2263.6,2175.71,2607.58,2171.18,2128.72,1876.21,2821.38,3073.73,2250.05,2862.42,2673.21
