SPESA,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA_ROMAGNA,FRIULI,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO,UMBRIA,VALLE_AOSTA,VENETO
Spesa_1,406.85,418.43,468.41,471.17,416.49,390.05,432.14,423.85,461.06,477.19,441.2,416.33,473.8,528.04,403.47,405.46,448.11,440.9,423.52,445.92
Spesa_2,34.4,32.35,44.27,46.26,46.4,31.18,38.54,40.75,47.01,43.81,39.74,49.63,38.53,49.62,31.17,47.37,41.44,34.67,57.25,39.16
Spesa_3,196.8,132.89,158.55,157.62,159.06,162.34,128.18,92.12,204.0,147.5,140.65,163.59,191.89,132.85,154.31,136.68,135.24,171.64,236.82,153.37
Spesa_4,617.65,495.41,501.75,625.43,1051.43,841.87,971.22,797.17,944.48,754.51,603.86,903.46,618.61,614.0,416.46,954.94,888.99,872.43,975.41,855.57
Spesa_5,102.07,80.97,153.91,115.15,112.46,126.31,131.04,76.72,146.59,177.05,102.5,142.8,161.36,242.26,156.26,107.81,149.3,129.67,127.63,149.27
Spesa_6,126.24,83.62,88.58,74.86,117.55,89.97,88.45,105.74,106.3,105.16,60.83,121.46,115.71,89.34,86.79,98.83,147.88,93.73,101.49,118.29
Spesa_7,221.36,226.36,224.66,167.11,359.41,265.69,244.5,216.56,324.51,316.66,238.78,312.34,234.91,301.69,245.46,241.61,300.96,252.63,232.5,341.9
Spesa_8,73.97,72.77,92.6,69.09,85.76,83.48,89.49,77.18,78.45,80.03,78.9,89.97,70.88,88.85,76.38,85.57,83.17,90.8,79.5,80.06
Spesa_9,142.83,63.11,134.55,129.46,165.55,162.47,133.03,123.62,203.46,139.41,107.08,147.44,107.36,162.2,117.79,155.53,156.9,122.18,216.42,164.26
Spesa_10,12.67,3.96,8.05,10.14,14.7,9.26,10.24,11.55,11.14,6.56,8.52,8.36,12.36,28.16,16.0,16.6,12.67,7.57,8.35,19.99
Spesa_11,74.51,47.62,64.4,71.49,148.53,135.04,143.12,88.34,191.65,105.94,60.19,121.53,63.8,175.08,83.26,138.67,169.05,76.29,160.18,125.7
Spesa_12,212.22,104.58,192.09,141.73,272.33,231.91,207.18,170.92,265.38,209.44,163.88,197.19,155.7,257.98,149.35,283.79,232.91,222.33,269.2,237.46
Spesa_TOT,2221.57,1762.07,2131.82,2079.51,2949.67,2529.57,2617.13,2224.52,2984.03,2563.26,2046.13,2674.1,2244.91,2670.07,1936.7,2672.86,2766.62,2514.84,2888.27,2730.95
